iucr_code,primary_type,description,index_code
0110,HOMICIDE,FIRST DEGREE MURDER,N
0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,I
0312,ROBBERY,ARMED: HANDGUN,I
0320,ROBBERY,STRONGARM - NO WEAPON,N
0460,BATTERY,SIMPLE,N
0486,BATTERY,DOMESTIC BATTERY AGGRAVATED,N
0510,ASSAULT,AGGRAVATED: HANDGUN,I
0560,ASSAULT,SIMPLE,N
0610,BURGLARY,FORCIBLE ENTRY,N
0620,BURGLARY,UNLAWFUL ENTRY,N
0650,MOTOR VEHICLE THEFT,AUTOMOBILE,N
0730,THEFT,SHOPLIFTING,N
0740,THEFT,THEFT OVER $500,N
0750,THEFT,THEFT $500 AND UNDER,N
0800,ARSON,AGGRAVATED,I
0850,DECEPTIVE PRACTICE,FRAUD,I
0910,VANDALISM,CRIMINAL DAMAGE,N
1020,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,I
1110,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,N
1200,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,N
1240,NARCOTICS,POSS: HEROIN(WHITE),I
1310,NARCOTICS,POSS: COCAINE,N
2830,CRIMINAL TRESPASS,TO RESIDENCE,N
5003,PUBLIC PEACE VIOLATION,DISORDERLY CONDUCT,I
